Title,Price,Shipping,URL
RDK Mens Gym Bodybuilding Shorts Training Yoga Running Quick Dry Stretch Sports,11.09,+$8.63 shipping estimate,https://www.ebay.com/itm/255159261683?hash=item3b68ad59f3:g:VKIAAOSw~i1jEPQd&amdata=enc%3AAQAIAAAAwLkOflgApBsISqFi9egKk%2FTsq4ga%2F0%2F%2F6eRLIM%2FRj7muy7vCl6Vo9bqQ8s24GkI4TrD0uTShcSEmjkcwYqwzOZxWb5gDDDwaHtZYJjh8QS7GPJP2EzcEvsUfJRPb9yozY%2BPt2Ob5jHFvTBeyY3NdwVlc%2FyZXBX5JApnskmY%2F%2B0j6OvpH%2FbsIH5BOCXOcyIyJTmFlzowHSZuCmsP%2FgqQFau5evpeT4AcwZD0EL0a%2FBbZlIlqF9Y%2FoNcCDwqC1zkH%2FWw%3D%3D%7Ctkp%3ABk9SR4yvivCOYg
Men's Sports Training Running Bodybuilding Workout Fitness Shorts Gym Pants Work,7.57,Free International Shipping,https://www.ebay.com/itm/175729773895?hash=item28ea4f8d47:g:FisAAOSwaepkY6eq&amdata=enc%3AAQAIAAAAwDE5XPHM4vJLjANN0mtL2QyxS%2F61Dx3VAiY4Sl1MgYd21oJZQMHPkHmAF8xc3ZO9oY6hsuCH46bGizaJkeVzCUBEeYUauJ%2FfDtlrGMclbzLGy%2FUVIlzYxvWM4wMLRJ1ageoEfAIxgRRIHjlqrSOQCMBbxv%2BeiCy7QuAXB8wnGW8lMTnAGcrgGAU5vDv%2B%2FP0z4mmffliv%2Bx%2Bz0oWQO%2BvEdd2FQrafwqNvz82PwXlRs%2BCjtu4yAj1EA8rV9HtzMuoV2g%3D%3D%7Ctkp%3ABk9SR4yvivCOYg
Mens Swimming Board Shorts Swim Shorts Trunks Swimwear Beach Summer,7.30 ,+$9.68 shipping estimate,https://www.ebay.com/itm/332594952973?hash=item4d70343b0d:g:h9AAAOSwYYpb4une&amdata=enc%3AAQAIAAAA4JWUjkBGRaz1YzgBJZFeKh39i2T%2FhL%2Bhe%2FSx0JdLmy98i31t2N6H8fKCnPPesAjCrg7Ybf%2FQWQVj29iqFmZrZu%2B02joW1RgB%2Bxbd8eUZAfj8bSI%2FPU70FBI0%2By7rTmeRyye06fIykpVGFgpjWPO2G3iZuBa6Rb4UoHMXpdL0PRVkujjxDy9B5Atgf1xyuxSYBDwTaG45H62KTGSHCOSdvDcHsUNcrIeywxebXHtyXZx4Lci%2Fj375IwfhpsV%2Fl7ssTAWXs0lYSvt7KLezq7k0QzMwzalA3kc7uWd0pfuwV0Mh%7Ctkp%3ABk9SR4yvivCOYg
Mens Jogging Fleece Shorts Training Running Gym Pockets Jersey Sports Half Pants,6.18 ,+$8.49 shipping estimate,https://www.ebay.com/itm/175627788899?hash=item28e43b6263:g:DVkAAOSwEp9j9~ug&amdata=enc%3AAQAIAAAAwNbNKw3YZOt4PFNHtqj2s6oMK7S3T%2By5%2FsJ%2BeqKIZvljuKeLDCKI7YWpJvV9P5xXBipxC20srbwFwbT21ukj%2BdFd6DY%2BAylGudgbiRPmdoLYZRVKk8F64E%2FuXpKjlBNzdHSjGttEvw41E4quZT%2BCcnVU8UUSOe818utxq6p08%2B9oHWgm6XFJqVMoOZq8XJnlCOtUGF0Lb3jeT%2FaLizqWfUN8H7mmoQ0RdePemq5L9Xbbbwp%2FVAGBW3RelL3fZ4FRBQ%3D%3D%7Ctkp%3ABk9SR4yvivCOYg
Mens Shorts Football Running Jogging Gym Sports Breathable Fitness Quick Dry,4.95 ,+$8.56 shipping estimate,https://www.ebay.com/itm/374203119217?hash=item57203e7671:g:zvQAAOSw7YFi7lge&amdata=enc%3AAQAIAAAA4JiNMPsyX%2BP%2FK07l52GHvTmw4S6PAYVovAAkXe0A8PLwDgJ8zZ%2FTfPrYMvz05ADbHq89gRYmssau00g46Djy8bDbRWkBTDMveETe30IYzqCfjNjLfj7NCWIqMqQ2XSa7nmUoFu5zI6ru9AsIQSIsllRyPdUsuT2suoBHf0ykQhH3ZHLM2BZNYDj%2B2BH9uBmDixXDa%2FY2z6IVRvATj7ziGIFStxMVn5Lk1e%2FNJdz8kaEckl2GcqA7p1ShWpzSL7Su69V2M2H9EWRE%2BbPyiJrr0CKmIThOWiTxSjb1Qo6B6MY%2B%7Ctkp%3ABk9SR4yvivCOYg
Adidas Mens Shorts Chelsea 3 Stripes Gym Sports Running Short Pockets Climalite,18.58,+$8.84 shipping estimate,https://www.ebay.com/itm/203729324977?hash=item2f6f36cbb1:g:qg0AAOSwqvJiwuiZ&amdata=enc%3AAQAIAAAAwO7sLWtp79mv8HlWuva%2FXWIKRLW%2B4RFTBTZxcxHEf3TZH7CYr6Wf9WQTJTMmynBMClubsdrw9UGdrtrAyfMrqPqTj4s8FqbfE6FMI0K%2FS6sFL%2Bg3Fg8OKZoUMuI9e4Yc8Ht0wTmwo%2Fmy%2FEx5tLemV2vGWCxfXTtiyer7iDopM0DoMAzXyOBWBn%2BmlvkIynMxn995JVnvGmwFXrEwTWqiKcr5y6RP%2FIoAowEvuk0FaGEq8pZuwoDb%2FgGqf%2F7j%2FX8cuw%3D%3D%7Ctkp%3ABk9SR4yvivCOYg
New Mens Shorts Elasticated Waist Plain Casual Gym Knee Length Summer Half Pants,7.42,+$7.42 shipping,https://www.ebay.com/itm/255716524086?hash=item3b89e48036:g:3ukAAOSwNxNjGhOX&amdata=enc%3AAQAIAAAA4JZyuvYxz73DZB5yLL9BGn5zxwYrrGVfzPrunpuZdt1PFZBvQShUFG2ChbUJ0BARwmBN3MVoT6JX7yxw185OU97GmY9CyDsjQ0tPJjWHoZmXx2HiDreWb0QMfdyLIlBh10TjFa23lC8oTANX%2FK8SqL8xvnK5zxbn%2BxcRKB6DzYQoqL64iclcriPxJaibTI1%2BNl%2BZhERZr5iwW%2F%2FeUyBFjaye%2BkHsl%2BYD9La4b4QiZe3x8fVXDDoEYc0bDLF5lNw0OTOjNtMv%2B0Xx0oyvkfWLlyFfbrjhsX5B0OyOt9OPLHlo%7Ctkp%3ABk9SR4yvivCOYg
Mens Kappa Swimming Board Shorts Lined Trunks Summer Swimwear Elasticated Waist,9.90,+$7.42 shipping,https://www.ebay.com/itm/266262676855?hash=item3dfe7e0577:g:5yUAAOSwcURkZjo8&amdata=enc%3AAQAIAAAAwJjdTzPp2hKBUwex686CCb3Sys7FgXzBWs7tfQCGgS%2FFpuny36glFOChU48064dbF0BWsFUzUB03sZ6XT%2FINtVryJjMU9%2FBd3SQfuKKNwDewe0VuO3pCKBKV8RBAHkGrs1iWb14r60XZvgPbK%2FcLKC8Ybu8E1OHTeB3l1LPUG%2FqyCbJvk2hRJMivnb%2Bb8X0w3j%2F64bosMWTOZFFoywEoGbcHPSS7Cl7Bcipc8%2FhZ0vINL0Go6LMGHJN2e7TSuBkWLw%3D%3D%7Ctkp%3ABk9SR46vivCOYg
Men Casual Chino Cargo Shorts Pants 6-Pockets Summer Beach Trousers ACCEPT OFFER,18.99,+$40.99 shipping,https://www.ebay.com/itm/233957304916?hash=item3678f12a54:g:UNoAAOSwq~xgoq~X&amdata=enc%3AAQAIAAAA4NMOEdiAJFg8UrNUHUO67igJODvW%2FMHN2OVQvwTbHdVB%2Fq1kqx47g11kfP40hZ4tzBeiLyAtIUiDzcgbsL3kiqEB42H8dsY%2BR%2F8f8%2FbEPCIzrZGOMg8Gub4wuuqyvrfSqekNPkFmqvQUuMfERehbJSffiiapqX5PcMw8uuL3zdWOzXjVkJ8D0zD656EjkdwVOMO21TARMN%2BHOBslTnDFhMpUPgmVCMtbn6UJKSLzCWayfH%2FY82Vje6dvuznD0xGBOIJdZ9JMANxMhanVM%2BIMf0ZG7UvxMI2WGg55afS74m0B%7Ctkp%3ABk9SR46vivCOYg
Men's Sports Training Running Bodybuilding Workout Fitness Shorts Gym Pants Work,9.50 ,+$5.00 shipping,https://www.ebay.com/itm/314122350908?hash=item492326b13c:g:O9YAAOSwNjhjCgiS&amdata=enc%3AAQAIAAAA4MuQZ1aZ1ECxAxYbg%2FTELxwB41bmEmlIKBHuKotxsRcfS%2Bqm0QKwgJud9cDCIu9raAU5S3Tg8wpGXQ%2FHGeA8n4ifgkOYIhP8MIQ%2FL%2FEYC6Mg9aSOq%2FZcAbfpxGDWGFBACDkZcHFHBQqDPrPRWPeXZ6UgfTqW3Q%2BnlrOKl460LtJHYW3eD458bTFxKWIFpTGRtgGmtp1k1k2CZpGjUZPz3WoqfRQCk8W5QpvjDtiaHiXsDP0xdVnXdxlCNXRQ%2BXDywPZaPHApZW8haB5AWsJs9ufzTK64W8XIVUWR3A5mWSDg%7Ctkp%3ABFBMjq-K8I5i
